JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457602.83794,15.841,0.052,,V,DDJ,,ENSEMBLE,94,X16356AF,,0,1.004,Z,,9.335,,V2492 CYG,AAVSO,STD,,,,
2457603.70784,16.044,0.018,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.05,Z,16.767,17.664,,V2492 CYG,AAVSO,STD,,,,
2457603.84171,16.090,0.018,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.10,Z,16.805,17.703,,V2492 CYG,AAVSO,STD,15,,,
2457603.84633,13.331,0.006,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.11,Z,17.062,17.604,,V2492 CYG,AAVSO,STD,15,,,
2457604.67385,15.901,0.015,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.10,Z,16.791,17.667,,V2492 CYG,AAVSO,STD,16,,,
2457604.67845,13.227,0.005,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.09,Z,17.017,17.547,,V2492 CYG,AAVSO,STD,16,,,
2457604.71306,15.919,0.039,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-4.511|VERR=0.011|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.48,1,1.106,Z,-6.070,-7.817,,V2492 CYG,AAVSO,STD,101,,,
2457604.71624,13.161,0.049,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.998|VERR=0.007|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.48,1,1.097,Z,-6.083,-7.221,,V2492 CYG,AAVSO,STD,101,,,
2457604.71940,14.554,0.026,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.909|VERR=0.005|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.48,1,1.092,Z,-6.789,-8.250,,V2492 CYG,AAVSO,STD,101,,,
2457604.81406,15.965,0.016,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.05,Z,16.808,17.693,,V2492 CYG,AAVSO,STD,,,,
2457605.67922,15.893,0.016,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.08,Z,16.825,17.726,,V2492 CYG,AAVSO,STD,17,,,
2457605.68384,13.165,0.005,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.07,Z,17.025,17.564,,V2492 CYG,AAVSO,STD,17,,,
2457606.67231,15.850,0.026,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.09,Z,17.339,18.228,,V2492 CYG,AAVSO,STD,18,,,
2457606.67692,13.158,0.006,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.08,Z,17.096,17.624,,V2492 CYG,AAVSO,STD,18,,,
2457612.70160,15.580,0.012,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.03,Z,16.708,17.593,,V2492 CYG,AAVSO,STD,19,,,
2457612.70620,12.888,0.005,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.02,Z,16.963,17.504,,V2492 CYG,AAVSO,STD,19,,,
2457612.84996,15.653,0.013,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.19,Z,16.802,17.690,,V2492 CYG,AAVSO,STD,,,,
2457615.71108,15.306,0.037,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE MAYHILL NM|VMAGINS=-5.257|VERR=0.012|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.48,1,1.055,Z,-6.202,-7.937,,V2492 CYG,AAVSO,STD,101,,,
2457615.71425,12.610,0.047,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE MAYHILL NM|VMAGINS=-6.659|VERR=0.006|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.48,1,1.050,Z,-6.191,-7.332,,V2492 CYG,AAVSO,STD,101,,,
2457615.71753,13.973,0.025,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE MAYHILL NM|VMAGINS=-6.630|VERR=0.005|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.48,1,1.046,Z,-6.925,-8.363,,V2492 CYG,AAVSO,STD,101,,,
2457622.71383,14.899,0.009,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.01,Z,16.690,17.573,,V2492 CYG,AAVSO,STD,20,,,
2457622.71843,12.386,0.004,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.01,Z,16.903,17.444,,V2492 CYG,AAVSO,STD,20,,,
2457622.85927,14.890,0.010,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.35,Z,16.773,17.673,,V2492 CYG,AAVSO,STD,,,,
2457623.67090,14.891,0.021,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.03,Z,17.657,18.557,,V2492 CYG,AAVSO,STD,21,,,
2457623.67549,12.392,0.011,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.02,Z,18.161,18.694,,V2492 CYG,AAVSO,STD,21,,,
2457624.66707,14.720,0.006,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.03,Z,16.760,17.650,,V2492 CYG,AAVSO,STD,22,,,
